Name,Group,"*13C,15N-UMP","*13C5,15N1-Valine",*13C6-Sorbitol,"*13C10,15N5-AMP",PA(16:0/16:0),Behenic acid,Nonadecanoic acid,Erucic acid,Phytanic acid,Vaccenic acid,Alpha-Tocopherol,Linoleic acid,Stearic acid,Palmitic acid,Heptadecanoic acid,Pentadecanoic acid,Alpha-Linolenic acid,Myristic acid,Dodecanoic acid,Undecanoic acid,Capric acid,Pelargonic acid,2-Hydroxy-2-methylbutyric acid,(S)-3-Hydroxyisobutyric acid,2-Hydroxybutyric acid,Alpha-Hydroxyisobutyric acid,N-Acetyl-L-tyrosine,N-Acetyl-L-alanine,Deoxyinosine,Cyclic AMP,Hypoxanthine,L-Phenylalanine,L-Leucine,Acetylglycine,L-Acetylcarnitine,Pyrrolidonecarboxylic acid,Inosine,N-Acetylglutamine,L-Isoleucine,Betaine,L-Methionine,2-Hydroxyethanesulfonate,L-Tryptophan,Xanthine,Cytidine,Beta-N-Acetylglucosamine,FAD,Guanine,L-Pipecolic acid,L-Valine,Guanosine,Alanylglycine,L-Proline,Acetyl-CoA,Uracil,Orotidine,D-Xylitol,Maleic acid,L-Tyrosine,L-Carnitine,4-Trimethylammoniobutanoic acid,S-Adenosylhomocysteine,Methionine sulfoxide,N-Methyl-D-aspartic acid,N-Acetylneuraminic acid,Sorbitol,2-Methylcitric acid,(R)-lipoic acid,Adenosine monophosphate,Coenzyme A,NAD,Glycerophosphocholine,Gluconic acid,L-Threonine,Glycine,Uric acid,Phthalic acid,Thiamine pyrophosphate,L-Alanine,N-Acetylglutamic acid,N-Alpha-acetyllysine,Hypotaurine,L-Glutamine,L-Glutamic acid,N-Acetylornithine,Taurine,Aminoadipic acid,Gamma-Aminobutyric acid,Glycerol 3-phosphate,L-Aspartic acid,ADP,Citicoline,Uridine 5'-monophosphate,Uridine diphosphate-N-acetylglucosamine,Cytidine monophosphate,Itaconic acid,D-2-Hydroxyglutaric acid,L-Serine,Succinic acid,Succinic anhydride,O-Phosphoethanolamine,Alpha-Lactose,D-Ribose 5-phosphate,"Oxoglutaric acid, duplicate 6",Phosphoric acid,Fructose 6-phosphate,D-Glyceraldehyde 3-phosphate,Malonic acid,Maltotriose,Fumaric acid,L-Malic acid,Galacturonic acid,Adenosine triphosphate,Uridine diphosphate glucose,L-Homocysteic acid,NADP,Guanosine monophosphate,L-Cystathionine,"myo-Inositol, duplicate 7",Glucose 6-phosphate,Oxidized glutathione,6-Phosphogluconic acid,Guanosine diphosphate,cis-Aconitic acid,Guanosine diphosphate mannose,Citric acid,Guanosine triphosphate,L-Lysine,L-Arginine,Hydroxyoctanoic acid,Taurocholic acid,Loperamide,Pantothenic acid,Adenine,Undecanedioic acid,Glycyl-L-leucine,Uridine,Orotic acid,N-Acetyl-D-glucosamine,Erythritol,N6-Acetyl-L-lysine,3-Methylhistidine,Threonic acid,D-Alpha-aminobutyric acid,Deoxyribose 5-phosphate,Dihydroxyacetone phosphate,Citrulline,D-Glucuronic acid,D-Erythrose 4-phosphate,Uridine 5'-diphosphate,3-Phosphoglyceric acid
pbQC01,PBQC,1163140.882,1869452.072,3849766.756,2955059.691,833449.1082,704128.9094,346251.1931,1480108.744,606850.7168,28602588.97,359443.6701,4077804.76,45201992.79,41616730.37,1483652.505,736984.1272,1049311.202,1617377.269,285786.6021,58739.4982,139419.3067,345775.7232,67957.94393,85924.80379,80755.25278,85924.80379,2033342.278,91618.08224,38865.29416,99436.81875,6281551.431,2691841.102,2107414.326,191605.721,142519.517,5412115.186,3935869.817,3171452.715,747701.1293,678245.8167,1054877.189,20870408.15,884481.7905,2016588.437,383324.7712,147318.0905,237304.5647,223771.1491,15785.53918,882384.0401,2021505.318,138537.6894,1572701.864,230937.9928,394237.334,1957235.747,162151.0237,499835.4019,1777388.402,66459.07864,73363.06339,207308.4307,82911.04787,210865.6898,1002477.744,996441.2417,322221.4193,323238.6616,33155581.99,938138.694,2038228.15,804022.6853,531978.5368,1388441.344,104796.0447,100563.4448,6098354.511,50789.061,13439756.17,10605025.34,699372.3058,8236.116541,22376663.33,32364852.57,46553.11655,58038902.01,116884.0964,6747497.101,4255316.206,6197646.48,2282195.774,186307.0557,874219.2326,3023223.64,134130.4224,3338133.535,13552706.45,778725.7494,3657221.647,257705.2466,2343536.153,277265.0609,2478212.462,852319.1868,10340961.26,412852.2792,316575.1473,94704.42203,290542.7041,18930292.31,154753026.6,80925.23574,443417.4095,1496262.492,70257.75793,597062.2028,4708719.915,186775.1221,4659261.132,1688789.459,1129838.555,67879.73694,698210.0807,688126.5124,231354.7121,10983943.4,250582.7155,326755.4308,594336.3194,22775.771,565138.9889,20252.87577,10587124.27,2005894.898,34288.60894,166800.738,1013435.264,435225.4512,41027.22556,9148.728357,55784.29134,614282.9412,4926566.252,76604.46562,8951.214498,148136.1264,120212.1388,81841.50717,43707.13107,58286.55849,593423.8056
pbQC01a,PBQC,1167141.599,1931902.313,3687331.263,2971077.595,853885.198,716715.0004,383004.2774,1514606.415,626020.0206,29244065.95,360013.308,4169179.252,46724181.54,42993151.33,1482963.252,680299.747,1071143.809,1642579.169,313419.2281,57956.90662,150676.9605,337875.2435,71701.61473,89840.37133,89853.92024,89853.92024,1995430.517,94287.44658,46920.15846,115131.1389,6409370.362,2763380.433,2141941.048,196429.8083,149640.5045,5561213.876,4026987.515,3279709.058,779301.4116,644873.1746,1056967.226,22679571.88,885814.4098,1909689.497,369563.906,141626.4275,264410.6496,233886.5566,19722.01288,914632.058,2080012.368,128946.6555,1593959.54,242888.9001,396204.4717,1890552.376,149093.3071,521701.744,1737680.833,65033.8091,73866.54657,207094.0226,78253.83171,227457.2224,1073446.833,917865.428,484782.4732,500347.4531,33794359.84,1133326.307,2038286.679,807337.3605,522843.6275,1382101.151,105801.7882,94652.86551,5772009.152,59759.52256,13940483.25,10599555.12,662456.2443,7332.265819,22846142.6,34236957.65,44259.55373,58658676.07,120240.1446,7170374.609,4495931.532,6227748.45,2440158.607,198404.5293,883827.5861,3027521.754,132926.6353,3417072.008,13748305.66,782172.5373,3790148.11,267169.0512,2429380.872,276013.2142,2465742.325,919187.6616,9846412.773,402695.1053,280363.572,95127.42346,321418.4302,17970414.41,149591032.8,67562.69716,433376.565,1654436.354,75914.71546,579902.1522,5145602,192675.6349,4648474.482,1779841.878,1101057.679,75675.473,778659.2346,828186.2314,253897.841,12891348.23,277424.1949,336226.3227,558113.2691,18540.94416,705329.2529,19336.49174,10766736.01,2079707.159,28880.93841,163372.4278,1033444.188,474689.189,36707.31636,9845.614707,51214.21499,523988.8222,4451336.611,103903.0823,11657.34665,153316.0955,112487.7852,67562.69716,36355.47255,55862.64272,744198.2372
pbQC01b,PBQC,1180237.351,1904207.046,3965487.877,3059114.532,815164.0144,705416.3863,320622.6195,1456044.145,607608.5655,29295591.82,329626.3735,3896044.155,44544659.91,41255623.14,1470205.101,744851.8746,1024861.947,1592831.178,353770.1909,55292.8616,140611.2273,333274.758,69068.36123,79990.54466,78108.17055,79990.54466,2066670.389,97105.79159,43675.67598,108659.3465,6189849.866,2716109.201,2152447.265,200264.4045,144447.4868,5672839.582,3992137.564,3292067.568,723280.2002,640935.6339,1087299.055,22049264.73,893653.7061,1972196.634,337680.1039,142950.91,253454.1521,225859.0016,18641.09881,926978.8515,2048703.905,126773.9262,1590008.352,239574.2551,441204.217,1990110.575,159106.35,540076.8519,1781306.982,75158.99135,68391.3855,210768.643,81826.92162,229663.2456,1055641.031,1009427.974,352972.2471,371393.4223,34187725.72,1006278.464,2080434.028,837774.181,534861.8367,1445362.943,105342.3554,84913.86458,6127883.718,56543.75829,14054159.96,11037399.16,727388.5532,6522.503198,22974393.16,33839343.93,49454.40351,58163691.08,134895.5229,7026196.478,4436762.835,6298095.713,2413065.668,195384.1724,882551.0976,3045649.286,133129.9296,3346161.413,13056191.52,742404.2318,3640938.069,242171.0828,2221853.784,280380.3741,2410016.103,850315.1535,9927624.766,367782.0507,299248.6071,91308.51524,276403.6999,17916121.08,146624149.7,73704.22276,441802.6617,1532603.773,65158.39079,592063.3111,4901318.515,193064.2062,4518668.809,1658693.94,1100498.594,66146.07404,741308.8751,723006.0428,239531.4587,11205984.67,269534.2479,331143.0632,562922.2125,11421.42333,663181.1951,18424.67054,10415331.92,2001790.293,26531.41073,161398.3763,996236.1193,469048.5325,34130.81913,13285.18435,52555.56464,575356.8233,4740962.278,96263.6449,15528.75703,143104.5017,139349.1521,73704.22276,38128.94751,55034.48763,624175.5524
pbQC01c,PBQC,1163734.358,1869579.398,3893689.288,2954798.55,849453.0625,699788.215,353062.0794,1506165.834,611915.821,29673481.46,355992.5677,4052079.387,45515923.33,42318688.59,1523392.03,773634.345,1051219.266,1648964.966,338033.2574,55966.69616,146157.4305,332983.8926,78199.00711,89648.0851,85114.21852,89660.35292,2098927.825,92958.53748,40094.27146,98464.04014,6311563.342,2700749.978,2105067.837,196757.9815,133927.4371,5292357.146,3990186.784,3258016.551,783962.3903,653127.4233,1082105.456,21890738.28,877835.4567,2069039.22,381307.5599,148415.2508,239411.4844,230553.7819,14228.85504,901349.3178,1985329.904,153516.2204,1543074.2,237544.2022,455531.9376,1983993.45,160832.6937,556696.3955,1759039.669,68015.9358,69297.59415,208167.6428,71946.81879,233650.4158,975691.3657,1025665.697,343916.4587,342429.9587,33687058.71,929525.2526,2033560.995,815359.6586,550976.3835,1362014.759,108279.8367,97711.24935,6126061.619,51434.49234,13618635.64,10893593.97,683509.8693,10426.27221,23048708.12,34004136.15,43750.17751,58562419.92,131065.1942,7205335.485,4428830.821,6308046.932,2414807.25,188883.5916,900282.9169,3015611.344,129287.9584,3310624.117,13336704.99,762337.0075,3607323.242,256941.7901,2349407.55,248669.7681,2428359.279,774939.1927,8646040.927,381868.2938,294465.478,80729.79999,274333.7034,18773849.61,153998398.5,71999.17542,443865.5018,1479869.231,66720.72352,591050.0769,4712177.165,194005.7562,4650306.865,1645227.067,1155938.181,67917.76392,717366.5304,733523.1148,229034.2879,10220287.64,241329.8346,330595.2859,571952.2449,19203.75452,612131.0109,30575.19489,10521722.6,2123183.703,28062.71147,165612.0956,1063809.038,446322.4538,32953.78036,10363.9446,53796.32435,618945.3342,4770161.924,79735.58536,9468.413318,152034.9769,159137.0003,71999.17542,37022.56968,51203.86213,556104.0797
pbQC02,PBQC,1386986.756,1918682.567,3688957.115,3119277.679,773514.9855,760506.9991,321745.5926,1603607.685,654901.4327,31959517.95,361082.8451,4401299.858,49488638.32,46470678.15,1649996.217,778648.8106,1131518.457,1694410.246,348235.6193,63419.52735,164306.0565,392744.0511,80286.19454,91580.87421,80886.27762,91580.87421,2149176.159,95302.19853,35538.74875,83857.79372,6832692.056,3144471.665,2110023.441,175499.929,129422.2004,5569949.379,4032387.701,3728910.096,761941.993,661433.1933,1143060.89,17953466.93,881696.4285,2194237.64,356460.1313,183541.713,241766.5356,244029.4064,16242.79457,910581.9265,2037367.508,209851.8391,1612304.68,255048.6503,405357.6584,1874360.179,167862.2728,561849.7064,1975813.201,66883.4723,73771.44085,244323.0796,94590.11409,286774.0996,1041009.825,956372.0155,404857.7895,401826.248,35224193.46,1039648.934,2164965.808,802748.7131,772279.0237,1489125.217,118847.7086,108677.7434,8455421.277,44800.84311,13330257.31,12967084.36,844577.7583,10385.33434,22017574.14,33326072.78,51968.11487,56058988.89,126863.3346,6759456.511,4615384.65,6214775.503,2553433.843,189386.3266,1075369.929,3583103.574,149215.6871,3776657.46,16373108.32,756924.5511,3593834.686,274325.6962,2289073.816,283113.0269,3092464.085,804203.7307,10623155.56,432052.2268,339717.4327,111689.3825,284668.1728,17395081.9,137996143.2,109899.0055,550861.4906,2352582.028,78621.244,705987.4096,4554745.05,290512.0573,4506859.5,1948732.276,1550622.87,87305.20218,860334.7187,1055488.475,270299.0154,13228962.53,322774.3072,425352.1483,616720.5527,24372.52696,362430.1717,21367.94871,12890079.36,2421975.64,42077.46549,245655.1429,1196151.681,439009.4244,42544.67094,8689.609615,76704.15279,1060918.582,8686935.22,114754.1118,13955.80034,263509.3807,97152.05745,109906.6097,63141.94976,89783.61516,930915.7597
pbQC03,PBQC,1191231.662,1836766.277,3313404.492,3006978.19,693376.088,732009.7373,370713.5246,1525876.212,636873.9863,30339036.83,344021.644,4349506.201,48684276.39,45591654.69,1585516.715,810829.043,1120992.079,1760936.052,369618.6774,58522.76376,162785.4022,387333.0391,67421.83354,92792.7943,81722.9283,92792.7943,1528601.857,92546.19555,33558.9844,64609.47415,6690766.991,3480673.331,1947718.128,186233.809,102291.3615,5717985.028,3744706.593,3029915.948,787043.1445,640397.9925,1577379.778,12236979.39,841941.7509,2435636.485,310994.6527,194671.6946,181701.437,209012.4657,18032.58654,890513.4426,1893067.968,166154.7765,1614056.589,206453.093,474829.2373,1852672.201,157553.2031,499313.0675,1838976.011,61486.09454,69299.53532,200339.5242,82708.25074,211632.2722,1035615.44,869853.0108,355637.1445,350834.4412,33887638.25,916038.159,2251269.518,758843.7646,643218.9597,1643995.146,127392.9715,70279.66448,7797027.324,34141.24779,12924667.45,12365094.85,879783.6882,10405.24276,21458602.55,32012413.51,43345.97892,56460066.42,114509.5284,6549089.214,4035475.617,5866903.832,2278843.748,174379.2596,889835.2535,3164482.859,131698.7121,3515577.999,14592313.75,835349.518,3642997.984,316552.4855,2097250.25,208810.236,2605061.35,713207.4316,9780491.124,452957.9092,349957.3308,94589.99965,241162.9571,15824655.09,122903043.4,72841.50471,457809.2666,1918901.921,53539.95186,657136.3746,4710684.99,238734.8132,6503084.383,1350911.59,1302259.62,69453.51919,712803.9154,693669.7309,226650.0831,7746072.424,254344.6267,328239.014,581501.8908,29009.20752,391604.7912,15661.36798,6081959.257,3418302.632,19038.06281,97774.49995,409709.632,189109.9418,66351.26215,5900.669829,81209.60585,851059.9603,6009444.03,63566.67227,10841.15609,148294.8089,170351.3922,64378.10418,46165.84339,69934.67082,419724.9832
Q96 1,Q96,1317427.684,1872870.837,4133169.429,3197124.094,849745.5957,810125.6302,336640.4169,1493222.678,667037.076,28937368.35,352970.5995,3541837.879,55158524.84,48491333.22,1356326.071,319714.0617,846241.2232,1135610.207,318829.6568,55191.0196,209223.2534,703384.7811,78948.88059,80790.17562,76114.97704,80790.17562,1454004.232,88527.67556,45866.74884,83985.83966,7083563.603,3091947.37,2516750.161,190224.2929,132242.0563,5486104.33,3942348.502,3702747.606,827450.9166,643220.7308,1320080.749,16230103.49,677310.117,1947269.739,349775.5484,208047.9768,220119.3469,226957.8351,14212.32352,900580.4314,2172467.265,207398.43,2070068.344,227333.979,486453.358,2030432.133,177687.1536,619145.0574,2128752.794,63545.81449,69218.68668,215287.0558,85693.95772,280806.5431,1181597.211,258937.6773,432517.6612,428471.678,32580411.04,968229.3289,2187181.489,795767.0282,819330.198,1755779.605,136466.6603,126656.7743,8773468.692,44242.22033,12823067.51,11996314.68,834134.9802,11189.25275,22451497.59,31464090.19,55259.24328,54355161.55,144307.6228,6161444.88,5057791.988,5790049.327,2295339.829,178877.614,911134.8034,3435667.83,131625.6237,3971238.542,16755454.44,947239.63,3733601.147,275545.1468,1735691.731,315013.9636,3983989.61,770851.0354,7859590.492,489342.7029,420539.3168,100318.5439,330099.0694,17330166.96,144202703.2,108524.3265,503098.4961,1906448.462,86972.37783,543286.238,3861518.384,334520.0664,5240574.304,1825591.702,691004.3918,115355.2217,688157.064,381720.7858,255349.817,3933760.775,302207.6328,458358.4974,910272.6272,32310.58004,130718.4482,15447.76881,11514303.22,1457224.167,32091.86726,286149.476,1367582.234,337857.1861,61289.46543,9123.251057,76636.29831,906640.2992,6723917.229,121928.0963,16821.05149,268031.6932,126101.3832,108524.3265,50721.4345,65444.51485,445995.014
Q96 2,Q96,1274933.862,1831407.782,3791316.244,2971481.557,730442.1518,867312.3194,514141.5159,1916097.543,815462.972,41620820.89,335083.3309,7022768.577,51283216.33,51356803.7,3035283.816,4126741.59,1522855.671,5041774.063,686906.828,83264.55551,213295.6893,873218.7958,102765.1763,117738.0787,105420.6261,117738.0787,1280253.798,105199.5433,41285.66449,71176.26942,8164460.594,3898952.879,2875679.279,211204.4675,118890.2729,6519966.877,4633172.967,3897942.543,1104758.776,770733.3631,1380126.272,16423118.81,800711.1502,2245960.849,324136.0766,202592.9458,341332.2755,301285.8891,18711.30526,1180177.342,2598173.295,293200.4872,2487248.035,170191.3468,462943.1178,1804428.755,190870.5421,618668.1058,2083568.102,76223.24277,66363.14217,241666.3751,142526.2946,341205.1128,1069893.418,318353.0607,396388.3082,414453.9847,32982317.61,1076151.852,2206167.274,843988.8158,1030894.725,1957047.074,142932.5752,108073.2416,9389399.311,37288.54434,13425736.08,13165077.65,938128.9019,10928.58979,25067403.67,33598357.09,56954.87102,57761890.09,132086.334,6778396.375,3836659.024,5679828.485,2524093.333,197085.9162,1189167.211,3687675.521,161832.0558,3980829.679,18602573.29,1006722.589,3917041.423,323198.9837,2227644.44,165993.0065,3786363.755,746859.8346,11061816.49,609319.0119,458114.7424,93981.32741,195821.2486,18034493.56,141653645.4,102397.3207,596027.2625,2350040.287,90959.6796,736566.5653,4402185.197,252405.6034,4920377.576,2235747.446,861691.2313,140530.5538,871302.2012,796511.278,276263.0143,12702397.47,303573.1938,466915.9205,983353.7553,22563.02048,530621.0336,14876.17544,11161567.59,2895699.723,35479.3099,199904.3595,1108965.172,336841.107,62426.75775,12140.11812,112662.5834,843978.1286,7319195.619,155866.5205,16388.14245,306134.4486,154883.8762,102397.3207,51593.1746,121646.3049,959114.3661
