sample_name,group_name,"*13C,15N-UMP","*13C5,15N1-Valine",*13C6-Sorbitol,"*13C10,15N5-AMP",PA(16:0/16:0),Behenic acid,Nonadecanoic acid,Erucic acid,Phytanic acid,Vaccenic acid,Alpha-Tocopherol,Linoleic acid,Stearic acid,Palmitic acid,Heptadecanoic acid,Pentadecanoic acid,Alpha-Linolenic acid,Myristic acid,Dodecanoic acid,Undecanoic acid,Capric acid,Pelargonic acid,2-Hydroxy-2-methylbutyric acid,(S)-3-Hydroxyisobutyric acid,2-Hydroxybutyric acid,Alpha-Hydroxyisobutyric acid,N-Acetyl-L-tyrosine,N-Acetyl-L-alanine,Deoxyinosine,Cyclic AMP,Hypoxanthine,L-Phenylalanine,L-Leucine,Acetylglycine,L-Acetylcarnitine,Pyrrolidonecarboxylic acid,Inosine,N-Acetylglutamine,L-Isoleucine,Betaine,L-Methionine,2-Hydroxyethanesulfonate,L-Tryptophan,Xanthine,Cytidine,Beta-N-Acetylglucosamine,FAD,Guanine,L-Pipecolic acid,L-Valine,Guanosine,Alanylglycine,L-Proline,Acetyl-CoA,Uracil,Orotidine,D-Xylitol,Maleic acid,L-Tyrosine,L-Carnitine,4-Trimethylammoniobutanoic acid,S-Adenosylhomocysteine,Methionine sulfoxide,N-Methyl-D-aspartic acid,N-Acetylneuraminic acid,Sorbitol,2-Methylcitric acid,(R)-lipoic acid,Adenosine monophosphate,Coenzyme A,NAD,Glycerophosphocholine,Gluconic acid,L-Threonine,Glycine,Uric acid,Phthalic acid,Thiamine pyrophosphate,L-Alanine,N-Acetylglutamic acid,N-Alpha-acetyllysine,Hypotaurine,L-Glutamine,L-Glutamic acid,N-Acetylornithine,Taurine,Aminoadipic acid,Gamma-Aminobutyric acid,Glycerol 3-phosphate,L-Aspartic acid,ADP,Citicoline,Uridine 5'-monophosphate,Uridine diphosphate-N-acetylglucosamine,Cytidine monophosphate,Itaconic acid,D-2-Hydroxyglutaric acid,L-Serine,Succinic acid,Succinic anhydride,O-Phosphoethanolamine,Alpha-Lactose,D-Ribose 5-phosphate,Oxoglutaric acid,Phosphoric acid,Fructose 6-phosphate,D-Glyceraldehyde 3-phosphate,Malonic acid,Maltotriose,Fumaric acid,L-Malic acid,Galacturonic acid,Adenosine triphosphate,Uridine diphosphate glucose,L-Homocysteic acid,NADP,Guanosine monophosphate,L-Cystathionine,myo-Inositol,Glucose 6-phosphate,Oxidized glutathione,6-Phosphogluconic acid,Guanosine diphosphate,cis-Aconitic acid,Guanosine diphosphate mannose,Citric acid,Guanosine triphosphate,L-Lysine,L-Arginine,Hydroxyoctanoic acid,Taurocholic acid,Loperamide,Pantothenic acid,Adenine,Undecanedioic acid,Glycyl-L-leucine,Uridine,Orotic acid,N-Acetyl-D-glucosamine,Erythritol,N6-Acetyl-L-lysine,3-Methylhistidine,Threonic acid,D-Alpha-aminobutyric acid,Deoxyribose 5-phosphate,Dihydroxyacetone phosphate,Citrulline,D-Glucuronic acid,D-Erythrose 4-phosphate,Uridine 5'-diphosphate,3-Phosphoglyceric acid
Q961,Q96,0.981884977,1.48941258,2.631409653,2.260935895,0.349264179,0.280378866,-0.986557583,1.162590516,2.48E-07,5.439022962,-0.918218048,2.408659327,6.369673111,6.183816156,1.023865257,-1.060983676,0.343302167,0.767628949,-1.064980036,-3.5952253,-1.672721229,0.07654739,-3.078758541,-3.045498282,-3.131495651,-3.045498282,1.124192662,-2.913552432,-3.862193971,-2.989533306,3.408636479,2.212676916,1.915723166,-1.810062405,-2.334579583,3.039943204,2.563216465,2.472757363,0.310906943,-0.052452782,0.984787387,4.604761436,0.022049833,1.545613913,-0.931336613,-1.680848146,-1.599478723,-1.555340518,-5.552006847,0.433088313,1.703495604,-1.685359416,1.633839567,-1.552951483,-0.455465003,1.605947975,-1.908424078,-0.107489212,1.67416959,-3.391870629,-3.268510458,-1.631502994,-2.960486544,-1.248189002,0.824899547,-1.365160405,-0.625007319,-0.638566507,5.610094042,0.53758196,1.713234103,0.254579345,0.2966782,1.396272939,-2.289212496,-2.396835835,3.717308485,-3.914214909,4.264830659,4.168680509,0.322514066,-5.89670115,5.072900918,5.559795464,-3.593443121,6.348506276,-2.208614147,3.207429852,2.922668851,3.117736784,1.782868926,-1.898790656,0.449897698,2.364751711,-2.341320219,2.573750171,4.650720053,0.505962611,2.484728965,-1.275476783,1.379671918,-1.082350061,2.578375034,0.208685323,3.558615289,-0.446921306,-0.665525643,-2.73316768,-1.014866869,4.699374791,7.756115541,-2.619739118,-0.40692564,1.515048703,-2.939123188,-0.296054077,2.533329389,-0.995673213,2.973886068,1.452525314,0.050928158,-2.531675353,0.044971161,-0.805248449,-1.385290236,2.560070374,-1.142225647,-0.541290009,0.448531878,-4.367582754,-2.351297736,-5.431834568,4.109516348,1.12738402,-4.377380224,-1.220996641,1.035788787,-0.981352446,-3.444026564,-6.190751738,-3.12164839,0.44276347,3.333463109,-2.451728924,-5.309037482,-1.315361817,-2.403175916,-2.619739118,-3.717056627,-3.349397016,-0.580738817
Q962,Q96,0.671068705,1.193599304,2.24334501,1.891828643,-0.132511577,0.115269917,-0.639115784,1.258817248,0.026337712,5.699879713,-1.256760561,3.132686096,6.00106104,6.003129709,1.922477639,2.36564931,0.927425484,2.654577673,-0.221167134,-3.265484574,-1.908423594,0.125061496,-2.96191538,-2.76568944,-2.92511043,-2.76568944,0.677076134,-2.928139093,-4.277475827,-3.4917823,3.350003774,2.283732928,1.844549,-1.922637982,-2.751639967,3.025510837,2.532646748,2.283359034,0.46437772,-0.055049786,0.785446552,4.35830242,2.48E-07,1.487979009,-1.304680781,-1.982694083,-1.230103694,-1.41014704,-5.418846034,0.559649978,1.698143882,-1.449392547,1.635196608,-2.234118723,-0.790446216,1.172188429,-2.068683071,-0.372115821,1.379702491,-3.392951649,-3.592791706,-1.728262421,-2.490045966,-1.230641266,0.418113421,-1.330652694,-1.014366475,-0.950069038,5.364267072,0.426528002,1.462188413,0.075942208,0.36454336,1.289324698,-2.485939364,-2.889258925,3.551679064,-4.424363216,4.067575482,4.039290325,0.228504451,-6.193773796,4.968386872,5.390964983,-3.813341764,6.172692244,-2.599791577,3.081590205,2.260496763,2.826493568,1.656411481,-2.02245312,0.5705979,2.203357929,-2.306778422,2.313715355,4.538076497,0.330312546,2.290410594,-1.308857713,1.476165209,-2.270153668,2.241459227,-0.100444098,3.788162608,-0.394083712,-0.805572149,-3.090817852,-2.031740431,4.493333204,7.466870118,-2.967088771,-0.425903127,1.553331717,-3.137963609,-0.120465692,2.458866046,-1.665535463,2.619415233,1.481403458,0.105889321,-2.510390017,0.121891501,-0.007586857,-1.535237385,3.987675114,-1.399235769,-0.778118386,0.296428778,-5.148937675,-0.593599467,-5.749488647,3.801113956,1.854558224,-4.496105794,-2.001967984,0.469860385,-1.249212285,-3.68100467,-6.042350316,-2.829260916,0.075923939,3.192331306,-2.360964278,-5.609966215,-1.387114803,-2.370088307,-2.967088771,-3.955970064,-2.718578658,0.260421131
Q963,Q96,1.080579205,1.707693615,2.791731408,2.487811547,0.696309544,0.310580966,-0.786781775,1.221874673,2.48E-07,5.622437072,-0.831561431,2.869092854,6.169934257,6.192632596,1.680591826,1.360235379,0.921033151,2.034463692,-0.594356312,-3.252718453,-1.618660895,0.648043907,-3.045093862,-2.914195911,-2.99917512,-2.914097516,1.762831511,-2.751299877,-3.929102795,-2.704707081,3.399752468,2.138657073,1.948173022,-1.766984525,-2.403694989,2.971153994,2.517010245,2.447056553,0.611990326,-0.137186616,0.713750004,5.049889276,0.211183967,1.840611498,-0.791791686,-1.899724909,-1.042203587,-1.3322385,-5.574746978,0.630980779,1.639394418,-1.976622167,1.270102214,-1.251617796,-0.97379434,1.511295426,-1.592151231,-0.0461549,0.949114992,-3.147702051,-3.599895195,-1.785619251,-2.745784935,-1.100050555,0.813305605,3.980459187,-0.669869179,-0.666133225,5.73027445,0.380611616,1.596732548,0.442341328,-0.230065453,1.184240806,-2.668155925,-2.614690345,3.436877879,-4.231643887,4.467334713,4.151313803,1.275730348,-6.04789099,5.217745888,5.767715306,-2.913113809,6.588391575,-2.101860824,3.500281382,2.704236817,3.271246593,2.028338478,-1.635459459,0.259431398,2.228467608,-2.248969262,2.491960226,4.64788032,0.266800381,2.713300077,-1.253835089,1.750409112,-1.651006949,1.842413579,0.66196087,4.059717032,-0.303404985,-0.403348387,-2.671800633,-1.755981741,4.906876606,7.940972978,-2.875625153,-0.28616715,1.149390779,-3.173548408,-0.149598379,2.834454523,-2.831695965,2.796476695,1.508948254,0.425490043,-3.087220601,0.209321782,0.033491567,-1.379311077,3.381215141,-1.299073364,-0.879171325,-0.042175445,-4.717850723,-0.702169506,-5.166172358,4.372181076,1.736817676,-4.311232104,-1.773589251,0.677377911,-0.598220509,-3.795756484,-6.560338644,-3.236556899,-0.451757293,3.010670462,-2.626434067,-5.486836541,-1.626813518,-1.789003256,-2.875625153,-3.24559978,-3.485643732,-0.322098472
Q964,Q96,0.838965139,1.738832583,2.576407385,2.285642659,0.292067249,-0.097940398,-1.157109005,1.12170532,-0.23896817,5.420993579,-0.517916504,2.568334477,6.040303138,6.189050862,0.891769302,-0.882902994,0.653792618,1.35440207,-0.619675316,-3.157436943,-1.629766914,0.051820772,-2.934637424,-2.401214785,-2.591993626,-2.40115751,1.62658275,-2.737491875,-4.165052156,-2.818588186,3.439375636,2.451449454,1.32238982,-1.544592502,-2.311913687,2.872214585,2.592550444,2.674291574,2.48E-07,0.213560499,0.691488394,5.22527967,0.484545179,1.942711825,-0.752343046,-2.186563813,-0.919110801,-1.353516584,-4.958908897,0.424672754,1.456632259,-2.209787367,0.896973596,-2.069306689,-0.415697283,1.766591665,-1.883700671,-0.273589056,1.11112037,-2.897468912,-2.744434204,-1.742252336,-2.982505584,-1.627467961,0.644318245,-1.603537349,-1.161744603,-1.19043237,5.972267946,0.77213529,2.037201948,0.315035999,-0.492373405,1.526507991,-2.238275558,-2.486062963,3.724216059,-3.815155236,4.543083689,4.231033298,0.498090276,-6.072779083,5.112304114,5.890700372,-3.764402374,6.673437627,-2.480934773,3.600320069,2.8442665,3.468868283,2.49791681,-1.777083249,0.700800042,2.351302517,-2.071262331,2.440551966,4.209663386,0.373970402,2.879065355,-0.893729506,1.948296382,-1.518801228,1.098948575,0.764702207,4.106638176,-0.312259952,-1.028725853,-2.962839569,-1.607358311,4.682545872,7.669628605,-3.303715867,0.306974134,1.476757387,-3.416746883,0.394350117,2.967830009,-1.566545273,3.576834372,1.063751191,1.391650297,-4.8798931,0.579449296,0.453599828,-1.444174253,4.407231707,-1.202602462,-1.128766944,-0.342418346,-4.917556423,-0.20039131,-5.608593104,4.061068873,2.368034449,-4.274992429,-2.161988739,0.739165544,-0.753658401,-4.125716371,-6.837436041,-3.645895643,0.411921677,2.59979868,-2.586557282,-6.281357036,-2.911432552,-2.131105029,-3.303715867,-3.350011636,-2.589096241,-0.548767318
Q965,Q96,1.08318568,1.619448599,2.743330207,2.32567888,0.267831191,2.48E-07,-0.877766828,1.138485602,-0.177803272,5.600041994,-0.639836198,2.646110109,6.419993896,6.304666158,1.130220014,-0.806640433,0.657062234,1.286252054,-0.887076689,-3.405217333,-1.774406487,-0.306316006,-3.019236589,-2.520990738,-2.571912552,-2.520990738,1.927293121,-2.647327119,-3.926536058,-2.567919091,3.816411184,2.196865697,1.549776658,-1.670392686,-1.988827342,3.103353283,2.902466414,2.696574013,0.172968635,0.474293601,0.759755962,5.065332472,0.881003846,2.094602855,-0.579022726,-1.838566709,-0.827965803,-0.740045954,-4.792896038,0.461734748,2.025147917,-1.801665352,1.094647348,-0.690338558,-0.21541861,1.826537756,-1.789601817,-0.080114104,1.647705877,-2.944611536,-2.616094394,-1.275712102,-2.679389715,-1.217220923,0.762411096,-1.050497087,-0.833267679,-0.86658508,5.843960781,0.767450136,1.947713947,0.490463194,-0.106768296,1.068106145,-2.699582553,-3.085044873,3.748576376,-3.480120508,4.523989188,4.462374413,0.360161871,-6.1112396,5.249172896,5.752357096,-3.840545872,6.641743695,-2.241704638,3.656302079,3.030431872,3.576651816,1.681564393,-1.55764985,0.337485908,2.520046705,-1.975142271,2.515380568,4.575701392,0.369743011,2.503125322,-1.140867707,2.092103704,-2.038203857,1.983159962,0.425356737,4.271465906,-0.741716425,-0.844056754,-2.892462812,-1.58663921,4.983174226,7.959244097,-2.679428349,-0.914205019,1.632670274,-2.701829544,0.263460278,2.98812959,-0.835918719,3.102749436,2.065140844,1.061968618,-3.805265448,0.408050829,0.899763693,-1.241077624,4.93385009,-1.195675235,-0.724782996,-0.268473979,-4.792718161,-0.178279856,-5.189676412,4.62724125,2.350879,-4.277981626,-1.71804193,0.822083152,-0.165534487,-4.113117865,-6.080925564,-2.934374557,0.7059559,3.154525128,-3.128953246,-5.426418689,-1.833841779,-4.137991975,-2.732094988,-3.388551286,-3.832499522,0.379072109
Q966,Q96,1.19632581,1.817039978,2.956229846,2.543319822,0.632416209,-0.082964252,-1.034635492,1.19837392,-0.116166207,5.475189337,-0.556067352,2.625935719,6.31072632,6.089199194,1.061321258,-0.891148938,0.776907705,1.031726994,-0.864190277,-3.253078461,-1.712759961,-0.276884385,-3.41369013,-2.931237155,-3.017584527,-2.931237155,2.183540233,-2.601411593,-4.472963271,-2.585631923,3.563765417,1.992884694,1.559031311,-1.601280654,-2.04321645,2.854637446,2.832080082,2.684836367,0.281174436,2.48E-07,0.659230283,5.038064891,1.037191852,1.789875854,-0.51502383,-1.850277194,-0.801564389,-1.029912327,-5.612216847,0.558122829,1.849949017,-1.917052275,1.096491696,-1.12832774,-0.670084648,1.681845516,-1.874396135,0.007243548,1.652511001,-3.221833426,-3.032724407,-1.391588548,-2.952081303,-1.19378274,0.606980845,-1.340423251,-0.983936544,-0.951662973,5.811391844,0.790468432,2.149105058,0.515433068,-0.276133303,1.325261385,-2.317013632,-2.757088034,3.527705989,-3.695682546,4.626521246,4.355069629,-2.416595572,-6.667353657,5.01421925,5.834457397,-5.13235532,6.63808287,-2.903927681,3.628467486,3.031473493,3.521190205,1.983324135,-1.648202496,0.621408805,2.378582511,-2.083460496,2.402248208,4.331219298,0.150338238,2.491186673,-1.276977458,2.011260826,-1.395304466,1.872886576,0.760824391,4.358523458,-0.655635273,-0.990025441,-2.912279247,-1.209482824,5.001022649,8.040265384,-2.609683847,-0.441321891,1.506560627,-2.365291565,0.35940881,2.883006567,-1.461675976,3.182892478,1.739252307,0.992053954,-3.386056481,0.475672852,0.653815013,-1.351007683,4.742104709,-0.9754091,-1.171923291,-0.614862336,-4.635542728,0.997082702,-5.310550975,4.041181823,2.003250564,-3.880389269,-1.869088617,0.894535085,-0.56006459,-3.787359964,-5.930698336,-3.532318217,0.556730387,3.027385403,-3.129367081,-6.2765718,-2.600369093,-1.578841157,-2.609683847,-3.368203358,-3.203850701,0.000458599
WT1,WT,0.976542526,1.654315249,2.660846948,2.300344762,0.370000919,0.372771538,-0.621165409,1.36009601,-0.149338657,5.666124577,-0.768505785,2.694873594,6.43280404,6.081176703,1.228544764,-0.798696751,0.953620906,0.810579568,-1.258501701,-3.204252595,-1.621479063,0.350090607,-2.861174763,-2.831265266,-2.885234312,-2.831265266,2.148950376,-2.761007312,-3.971765374,-2.365275702,3.324148657,2.228392912,2.023912365,-1.594289018,-1.716516485,2.88727578,2.637320837,2.503433249,0.328760273,0.306877022,1.087893742,5.183146061,0.570734567,1.872207078,-0.656447634,-1.696397536,-0.710118239,-1.531597473,-5.342840892,0.524771363,1.607774417,-2.169085495,1.977791084,-0.875495626,-0.060411258,1.939770852,-1.876235393,-0.196568254,2.133392262,-3.144457629,-2.297007885,-1.397001742,-3.043594026,-1.422769672,1.0085871,-1.384015149,-0.778836686,-0.775419177,6.031295733,0.82851478,1.990319464,0.717217776,-0.080505274,1.42158147,-2.346124055,-2.511689909,3.512651523,-3.308369834,4.62586997,4.364758088,-2.011390683,-5.848167183,5.434931367,5.929771497,-5.153345037,6.718627459,-1.922712623,3.635441082,2.830611181,3.564811929,2.387143404,-1.536220606,1.191229077,2.458869625,-2.125547687,2.639787689,4.759365136,0.462781,2.735497617,-1.152080412,2.097106962,-0.517536465,2.03488469,-0.05604895,4.164956774,-0.358259955,-0.655621111,-2.856347811,-0.365715873,4.909167104,7.921120306,-2.817389001,0.240746515,1.589159026,-2.995102661,2.48E-07,3.232762349,-1.221050587,3.17138503,1.701932802,0.677119016,-2.44737561,0.490525849,0.187793586,-1.056936611,4.117440122,-0.945628435,-0.514243665,0.276169081,-4.219394016,-0.084123269,-4.910797501,4.677050686,1.80253434,-4.501758148,-1.665449712,0.873400194,-0.889032226,-3.568969247,-5.766260163,-3.104298933,-0.125522106,3.116711967,-2.631328054,-5.909598449,-1.578079573,-1.382629016,-2.817389001,-3.574866588,-2.577954582,1.316819032
WT2,WT,1.078773958,1.77540813,2.667899294,2.422057268,0.57630077,0.630654139,-0.502607739,1.61561473,0.067089912,5.91696311,-0.289284101,2.869766147,6.73268228,6.597980333,1.601857285,-0.531693629,0.877627183,1.52324808,-0.582614619,-2.869809509,-1.338087935,0.275355841,-2.547448411,-2.123182011,-2.446322572,-2.12338451,1.520859125,-2.649201397,-4.420647057,-3.097910745,3.581638957,2.546628953,1.489490408,-1.561462205,-2.17382711,3.039628521,2.715791591,2.480072611,0.183915413,0.376136621,1.537130184,4.727816993,0.579825977,2.305854173,-0.510807271,-1.538143334,-1.060370312,-1.787636247,-4.744104476,0.511056019,1.604179337,-2.137308326,1.512243573,-1.408987289,-0.379401237,1.878925634,-1.785007743,2.48E-07,1.374070133,-3.316934629,-3.24873789,-1.438196924,-3.284413213,-1.231169009,0.966313161,-1.705596823,-0.628510226,-0.666780485,6.096744515,0.879542921,1.992493542,0.575136719,0.106173595,1.101220655,-2.65337249,-3.560392893,4.673484412,-3.624121452,4.572186792,4.432424321,-2.060451274,-5.603789294,5.350704122,5.83765389,-5.057933095,6.692974429,-2.279221987,3.533179599,3.133772562,3.555859301,1.938140154,-1.604761385,0.928567956,2.570912907,-1.938063529,2.626571247,4.70415662,0.602995416,2.636155972,-1.097324569,1.964200796,-0.682017596,2.244563543,0.160268828,4.035043858,-0.461656938,-0.64737089,-2.68107249,-0.672803173,4.799785442,7.79881748,-2.899232263,-0.550579004,1.950961513,-3.752778307,0.160536087,3.280405611,-1.253845234,3.838101519,1.264300323,0.671036539,-2.764469752,0.265896693,-0.371456291,-1.219877903,3.31739865,-1.218244747,-0.900653202,-0.087496647,-3.983842096,-0.777184906,-5.553336416,3.784385344,2.535041146,-4.558168507,-2.262995231,-0.184262048,-1.866772475,-3.283081713,-6.031142793,-3.322515612,0.764154988,3.115072602,-2.608992079,-5.560108339,-1.944827667,-1.873787791,-2.862923456,-3.327799862,-3.444453285,-1.307374358
WT3,WT,0.793745228,1.325248017,2.286960304,2.070146936,-0.025626945,0.129600749,-3.56093991,1.215487764,-0.114940212,5.503915272,-1.095408563,2.633758662,6.080700978,6.029536037,0.972504148,-1.024543518,0.661970675,1.070929301,-0.959837134,-3.557529262,-1.936580242,2.48E-07,-3.205438594,-2.973082238,-3.064897585,-2.959611181,1.985372697,-2.984382422,-4.482661808,-2.894305429,3.235476658,2.242556636,1.812045242,-1.705746172,-2.325892475,2.944688524,2.443056159,2.598299415,0.268646682,0.026414595,0.798150516,4.913013376,0.132339399,1.211643393,-1.115721978,-2.092474484,-1.400629254,-1.868326074,-5.118162428,0.361274202,1.432139991,-1.772308545,1.404022777,-1.260917203,-0.593677097,1.652600111,-2.144583769,-0.185483603,1.910999475,-3.703688919,-3.478233518,-1.561287091,-2.840239873,-1.569083937,0.559482266,-1.56949596,-0.90733897,-0.889784357,5.757160785,0.542333237,1.668793952,0.147806943,0.07135743,0.991784675,-2.775760425,-2.823982739,3.304070218,-3.608829201,4.239991658,4.183842652,1.098428635,-6.48041716,5.138492439,5.559407859,-2.550732634,6.389870289,-2.362400811,3.271823328,2.834386259,2.931952175,1.948789285,-1.822530362,0.85299366,2.309159943,-2.297353215,2.388785093,4.616412481,0.325690479,2.480331016,-1.317041265,1.712753477,-1.401166522,2.183840048,-0.084185349,3.782591231,-0.77088389,-0.674737985,-3.190161362,-1.273539965,4.784585931,7.735022808,-3.001290738,-0.409714568,1.386607827,-3.025930919,-0.178731126,2.78866993,-1.416155568,2.504342689,1.637568503,0.34194017,-2.428405624,0.205981681,0.187176842,-1.336233559,4.253457616,-1.138789458,-0.631457075,0.314514797,-4.957646447,-1.942600216,-6.00710944,3.924774961,1.212175578,-4.731092211,-1.444570924,0.845819964,-0.743841263,-4.034977797,-6.910719103,-3.304659743,0.447966141,3.079225283,-2.922630825,-5.961601769,-1.218834361,-2.493049647,-2.935379742,-3.888631263,-2.816721361,0.699689146
WT4,WT,1.248684768,2.143889718,3.061730755,2.774780876,0.854350698,0.756211318,-0.50627332,1.940083534,0.38838055,6.158568945,-0.125381086,3.446841812,6.564860946,6.461263396,1.704692784,-0.35237583,1.752928253,1.486017884,-0.543878325,-2.650494712,-1.212565409,0.580707672,-3.176585098,-2.220234106,-2.400561179,-2.220101741,1.953841406,-2.245469466,-3.573366331,-2.938245804,3.856871152,2.729264925,1.791945984,-1.261093223,-1.920037209,3.611058782,2.836990684,2.762848244,0.567704789,0.317395883,1.089707539,5.462231476,0.787307147,2.572910304,-0.555886323,-2.315524473,-1.186799225,-1.599537493,-4.924811147,0.754548408,1.668753677,-2.334040293,1.351077788,-1.213271535,-1.836317925,1.493747233,-1.606043972,2.48E-07,1.36068468,-2.87057161,-3.203894262,-1.390952065,-2.606588326,-1.31600495,1.200042453,-1.089301898,-1.034050494,-1.041806386,6.181589175,0.483613041,2.035145068,0.661125265,-0.10757761,1.808220876,-1.969378206,-2.271007177,4.084699828,-3.884768809,4.71866097,4.267806679,-1.956573334,-5.674030949,5.522205515,6.086575563,-4.888769081,6.896931352,-2.090111923,3.755796497,2.847999876,3.463478527,2.039949805,-1.564187124,0.590163375,2.470053796,-1.973782531,2.477396887,4.30506277,0.480520664,2.744921221,-1.008800995,1.981089308,-1.076876475,2.032634024,0.669551777,4.23437564,-0.065951459,-0.556201797,-2.340854742,-0.937761426,5.086074593,8.087072657,-2.856647965,-0.49592584,1.512686695,-3.927668491,0.177769238,3.125454475,-1.371865638,4.363449759,1.301407219,0.936343178,-2.698984588,0.3023731,0.161768424,-1.380096361,3.799260348,-1.30972499,-0.942731096,-0.056060375,-3.88643451,-1.109102845,-4.827508973,4.515568481,2.500684435,-3.881538957,-1.219424377,1.170287798,-0.314478885,-3.63207266,-5.755862323,-3.28504094,-0.21569656,2.586599727,-2.430089585,-5.594094716,-1.723298839,-1.541570692,-2.856647965,-3.591804628,-3.487401479,-1.005700454
WT5,WT,0.743794339,1.599192756,2.672019075,2.231568987,0.243136981,0.392937978,-1.27695178,1.607218473,2.48E-07,5.831376391,-0.650187101,3.092809123,6.242047626,6.186377689,1.252861952,-0.811971646,0.99787129,1.012932151,-1.137214401,-3.817938544,-2.188621079,-1.13959006,-3.684251303,-3.516397768,-3.727599025,-3.835925588,1.515920404,-2.419373691,-4.351218914,-3.193957448,3.514784264,2.965077211,1.732783305,-1.941603016,-2.790675089,3.457721031,2.640163345,2.572751795,0.47816442,0.175276036,1.416724181,4.74023364,0.582747217,2.105269818,-0.871437853,-2.272047238,-1.371183376,-1.818927304,-5.047665424,0.632396447,1.516238015,-1.773839421,1.119942961,-2.360612284,-0.212782983,1.867337668,-1.865807875,-0.030822525,1.970193659,-3.003023387,-3.206440866,-1.581750876,-2.226329468,-1.297228171,0.812857486,-0.171102555,-1.111244087,-1.110346901,5.76244325,0.424511763,1.870152848,0.227381323,0.061862968,1.411672976,-2.424647896,-2.892998907,3.685019384,-4.590706781,4.339055644,4.379837635,1.444844896,-5.947325654,5.229225434,5.800632595,-3.095575514,6.500823912,-2.66088823,3.427599685,2.559094067,3.141891944,1.72497043,-1.968493782,0.131095615,2.267977309,-2.128065569,2.366448421,4.442343516,0.33212748,2.613252074,-1.092223582,1.857188968,-1.476824497,1.746721129,0.449126585,4.156333925,-0.747277466,-0.960121918,-2.409541969,-1.052136663,4.826312233,7.824369627,-3.184879005,-0.76524468,1.441070885,-3.467899361,0.312822445,2.961157671,-1.28696418,3.598653539,1.121281515,1.275477524,-4.284080091,0.140304403,0.413113739,-1.511482665,4.147710373,-1.577090944,-1.125880408,-0.266678006,-5.14571867,-1.344642251,-5.127137874,3.469574155,1.868500952,-4.544531084,-1.91404767,0.235486758,-0.119042024,-4.099082186,-6.513949916,-3.604403318,-0.217251613,2.628375385,-2.546718137,-5.400786058,-2.851458185,-2.369155151,-3.184879005,-3.766010109,-3.623206366,-1.107746663
WT6,WT,1.114041319,1.950231587,2.942853125,2.685754089,0.48950368,0.753447211,-0.6731531,1.844404269,0.280596501,5.978763127,-0.172575878,3.157418807,6.618351171,6.447214709,1.507931488,-0.691047895,1.02897319,1.084363761,-0.776130259,-3.254191031,-1.693569655,-0.350306535,-2.942646283,-2.930822973,-3.067649986,-2.930822973,1.829095098,-2.126180085,-3.52439869,-2.845689608,4.258966179,2.834084209,2.152753186,-1.4659733,-2.142540477,3.853049952,3.394118126,2.828485678,0.8185667,0.232412667,1.251795009,5.300926212,1.225277626,2.471128388,-0.890404491,-2.042806293,-1.245690816,-0.764809182,-4.828319719,1.134935482,2.450269039,-1.524778782,1.338926682,-1.038012419,-0.092173323,1.945529762,-1.831911171,0.057933676,1.55865704,-3.126514909,-2.782570886,-1.147863831,-3.475779975,-1.269017428,1.248579005,-1.398557762,-1.106805196,-1.108392153,5.816739453,0.650882491,1.95441142,0.364139098,-0.344852977,1.2852788,-2.371427033,-2.440975825,3.545135544,-4.016747771,4.731844734,4.534715472,0.714906239,-6.231339899,5.45023669,5.96482915,-3.469120846,6.843666112,-1.897935276,3.743054536,2.61621369,3.450818771,1.514878637,-1.496131972,-0.200292516,2.365912917,-1.883189787,2.404375998,4.29622342,0.358427621,2.584442295,-0.945986262,2.050429419,-0.940560404,2.507916177,0.614080748,4.307138013,-0.96426398,-0.837994634,-2.366249143,-0.768625319,5.245908224,8.194587798,-2.749563684,-1.08015236,1.443536956,-3.667497027,0.242870574,3.061099078,-0.839250358,4.078902583,1.512001159,0.445660291,-3.853327047,2.48E-07,0.256913822,-1.345263014,3.949982589,-1.527261981,-0.463743327,-0.239188266,-4.824567066,-0.506441204,-5.110017901,4.469931417,2.462373248,-3.699045014,-0.747601444,1.024895498,-0.241062815,-3.585797508,-6.45927172,-3.691379159,0.302840437,2.637071058,-3.004110061,-5.06674467,-2.731520704,-1.40325319,-2.749563684,-3.623704125,-4.291387345,-1.841586926