ncbi_id,gene_name,ensembl_id
795901,treh,ENSDARG00000077911
406428,pdhb,ENSDARG00000021346
406702,pdha1a,ENSDARG00000012387
436672,pdha1b,ENSDARG00000010555
550460,hexa,ENSDARG00000052113
323613,hexb,ENSDARG00000034368
553722,gba3,ENSDARG00000031150
100536353,ganc,ENSDARG00000074556
100148922,,
100002366,gaa,
84039,bco1,ENSDARG00000104256
393580,bco1l,ENSDARG00000103659
550338,alad,ENSDARG00000100372
559020,ptgs2b,ENSDARG00000010276
246226,ptgs1,ENSDARG00000052148
246227,ptgs2a,ENSDARG00000004539
84702,cp,ENSDARG00000010312
394129,hmbsa,ENSDARG00000008840
338290,hmbsb,ENSDARG00000055991
100005551,entpd3,ENSDARG00000035309
445151,entpd1,ENSDARG00000045066
436652,entpd8,ENSDARG00000005565
445069,ntpcr,ENSDARG00000021853
64609,atp1a2a,ENSDARG00000010472
64612,atp1a1a.1,ENSDARG00000002791
64610,atp1a3a,ENSDARG00000018259
64611,atp1a3b,ENSDARG00000104139
64616,atp1a1b,ENSDARG00000019856
100038785,zgc:163069,
337583,atp6v1ab,ENSDARG00000076318
554135,atp5f1b,ENSDARG00000070083
394110,atp6v1aa,ENSDARG00000034534
325704,get3,ENSDARG00000018190
563932,atp10b,ENSDARG00000076230
368385,atp11c,ENSDARG00000036442
571658,atp10d,ENSDARG00000078887
567172,atp10a,ENSDARG00000061039
568160,atp9b,ENSDARG00000062521
100148342,atp8b1,ENSDARG00000060980
562925,atp11a,ENSDARG00000008413
559291,atp8b4,ENSDARG00000079453
100330943,atp8a2,ENSDARG00000077492
559080,cftr,ENSDARG00000041107
405851,spast,ENSDARG00000024933
492790,katnal1,ENSDARG00000099156
553631,katna1,ENSDARG00000021827
564924,atp7a,ENSDARG00000003699
556499,atp7b,ENSDARG00000058145
568265,atp2a2b,ENSDARG00000005122
558525,atp2b3b,ENSDARG00000023445
568671,atp2a3,ENSDARG00000060978
393940,atp2a2a,ENSDARG00000029439
557430,atp2b2,ENSDARG00000063433
562640,si:dkey-28b4.8,ENSDARG00000002840
378746,atp2b1a,ENSDARG00000012684
494489,atp2a1l,ENSDARG00000035458
260440,atp2a1,ENSDARG00000020574
554200,nsfb,ENSDARG00000038991
368483,nsfa,ENSDARG00000007654
560807,adcy6b,ENSDARG00000027797
571825,adcy3a,ENSDARG00000077145
560719,si:dkey-206f10.1,ENSDARG00000032838
568726,adcy7,ENSDARG00000060070
557026,adcy1a,ENSDARG00000069026
100148976,adcy8,ENSDARG00000031783
563724,adcy2a,ENSDARG00000058392
569499,adcy1b,ENSDARG00000088634
557902,adcy2b,ENSDARG00000014588
570652,adcy6a,ENSDARG00000061445
560410,si:ch211-132f19.7,ENSDARG00000043141
562619,adcy5,ENSDARG00000091342
553685,cyb5r4,ENSDARG00000020898
336553,cyb5r1,ENSDARG00000018966
751641,cyb5r2,ENSDARG00000051925
324560,cyb5r3,ENSDARG00000005891
562399,enpp1,ENSDARG00000005789
550370,nudt12,ENSDARG00000100813
550242,nadka,
562771,nadkb,ENSDARG00000060362
404036,nos2a,ENSDARG00000026925
60658,nos1,ENSDARG00000068910
563654,nos2b,ENSDARG00000031976
406619,nnt,ENSDARG00000023536
553575,gsr,ENSDARG00000019236
394170,nme4,ENSDARG00000088390
335716,nme2a,ENSDARG00000043820
58120,nme6,ENSDARG00000016138
30086,nme7,ENSDARG00000056193
30084,nme2b.2,ENSDARG00000099420
30085,nme3,ENSDARG00000100990
30083,nme2b.1,ENSDARG00000103791
406590,ak4,ENSDARG00000006546
415208,zgc:86811,ENSDARG00000035573
321793,ak2,ENSDARG00000005926
445486,ak1,ENSDARG00000001950
504040,ak7b,ENSDARG00000017023
553671,ak8,ENSDARG00000030961
100003595,ak5,ENSDARG00000012555
447838,coasy,ENSDARG00000042747
569989,ca5a,ENSDARG00000101778
387526,ca2,ENSDARG00000014488
550233,ca8,ENSDARG00000039098
555196,ca4a,ENSDARG00000043589
564201,ca7,ENSDARG00000045139
566612,ca9,ENSDARG00000102300
30331,cahz,ENSDARG00000011166
567897,ca14,ENSDARG00000061697
336257,nmnat2,ENSDARG00000004580
572070,si:ch73-170l17.1,ENSDARG00000077034
550322,nmnat1,ENSDARG00000105748
555623,cps1,ENSDARG00000020028
436692,entpd4,ENSDARG00000038422
406558,cant1a,ENSDARG00000012192
556849,entpd5a,ENSDARG00000053481
445201,cant1b,ENSDARG00000102977
550560,entpd6,ENSDARG00000008757
406404,ak3,ENSDARG00000058226
406383,cmpk,ENSDARG00000019924
570478,cmpk2,ENSDARG00000031359
445492,flad1,ENSDARG00000070390
561030,pdxp,ENSDARG00000109823
799638,phospho2,ENSDARG00000102202
564697,pdxkb,ENSDARG00000036546
791775,pdxka,ENSDARG00000088959
323329,mat2aa,ENSDARG00000040334
791612,mat2ab,ENSDARG00000037121
678634,mat2al,ENSDARG00000063665
541347,mat2b,ENSDARG00000012932
334195,mat1a,ENSDARG00000039605
792097,amd1,ENSDARG00000043856
333997,ampd3b,ENSDARG00000032469
571355,ampd2b,ENSDARG00000029952
393867,ampd1,ENSDARG00000033832
556578,ampd3a,ENSDARG00000005800
393906,nt5e,ENSDARG00000071017
321720,nt5c3a,ENSDARG00000058597
557972,nt5c2b,ENSDARG00000058231
324845,nt5c2a,ENSDARG00000039399
561683,nt5c1bb,ENSDARG00000033742
799449,nt5c1ab,ENSDARG00000070590
436595,nudt2,ENSDARG00000058728
368220,adka,ENSDARG00000039429
322229,adkb,ENSDARG00000095947
474325,dck,ENSDARG00000044807
541538,zgc:110540,ENSDARG00000054929
393713,fhit,ENSDARG00000078195
798974,nadsyn1,ENSDARG00000101378
393641,aprt,ENSDARG00000003519
561338,pde11a,ENSDARG00000063732
564465,pde1a,ENSDARG00000060875
394077,pde10a,ENSDARG00000003449
567051,pde3a,ENSDARG00000004227
563432,si:ch211-79e4.4,ENSDARG00000062190
394240,ahcyl2b,ENSDARG00000039343
798918,ahcyl1,ENSDARG00000056331
791167,ahcyl2a,ENSDARG00000051873
387530,ahcy,ENSDARG00000005191
334208,ldhd,ENSDARG00000038845
114551,pklr,ENSDARG00000042010
445094,pkmb,ENSDARG00000099860
335817,pkma,ENSDARG00000099730
324201,dlat,ENSDARG00000015918
445233,me2,ENSDARG00000100718
492719,me3,ENSDARG00000002305
768196,me1,ENSDARG00000053215
100037349,mlycd,ENSDARG00000104732
436914,acss2,ENSDARG00000037781
560020,acss2l,ENSDARG00000069029
541435,acss1,ENSDARG00000044142
445290,acat1,ENSDARG00000045888
30643,acat2,ENSDARG00000007127
557186,,ENSDARG00000099579
373092,glud1b,ENSDARG00000101074
317737,glud1a,ENSDARG00000008816
394133,aldh4a1,ENSDARG00000038207
100000775,glula,ENSDARG00000099776
336473,glulb,ENSDARG00000100003
566165,glulc,ENSDARG00000013227
266992,cad,ENSDARG00000041895
564147,glsa,ENSDARG00000062812
564746,glsb,ENSDARG00000040705
799963,gpt2,ENSDARG00000012199
403086,gpt2l,ENSDARG00000019541
100148522,si:ch211-217a12.1,ENSDARG00000055642
557716,nags,ENSDARG00000077193
550403,gad2,ENSDARG00000015537
378441,gad1b,ENSDARG00000027419
368239,aldh2.2,ENSDARG00000028087
100000026,aldh3a1,ENSDARG00000074791
492710,aldh16a1,ENSDARG00000037935
393462,aldh2.1,ENSDARG00000089924
100005587,aldh9a1a.1,ENSDARG00000069100
323653,aldh3a2a,ENSDARG00000028259
334197,aldh7a1,ENSDARG00000018426
399481,aldh9a1b,ENSDARG00000037061
447920,aldh3a2b,ENSDARG00000029381
386951,idh2,ENSDARG00000003795
100006589,idh1,ENSDARG00000025375
402904,nit2,ENSDARG00000017590
352926,gpx1a,ENSDARG00000018146
552981,gpx7,ENSDARG00000091511
798788,gpx3,ENSDARG00000043342
402868,pnpo,ENSDARG00000017612
116991,ugdh,ENSDARG00000019838
559149,nudt14,ENSDARG00000062335
334420,ugp2b,ENSDARG00000008200
555748,ugp2a,ENSDARG00000005578
678540,gale,ENSDARG00000002401
373082,gys2,ENSDARG00000004904
406791,hk1,ENSDARG00000039452
406339,hk2,ENSDARG00000101482
321224,hkdc1,ENSDARG00000038703
58215,fech,ENSDARG00000003462
571263,acyp1,
393697,guk1b,ENSDARG00000005776
415216,guk1a,ENSDARG00000030340
406525,dnm2b,
100307098,dnm1a,ENSDARG00000010042
559334,dnm2a,ENSDARG00000069937
566871,si:dkey-32e23.4,ENSDARG00000063159
393896,dnm1l,ENSDARG00000015006
406405,mdh2,ENSDARG00000043371
335715,mdh1ab,ENSDARG00000103849
399662,mdh1aa,ENSDARG00000017772
58068,pcxb,ENSDARG00000051939
322339,cs,ENSDARG00000103364
436922,aclya,ENSDARG00000099079
406330,got1,ENSDARG00000039093
406688,got2a,ENSDARG00000041068
335974,got2b,ENSDARG00000005840
337166,si:dkey-40g16.6,ENSDARG00000056804
565385,zgc:172341,ENSDARG00000079664
402994,dao.3,ENSDARG00000035601
405800,dao.2,ENSDARG00000035603
619259,dao.1,ENSDARG00000035602
403338,gnmt,ENSDARG00000006840
436603,agxta,ENSDARG00000052099
619269,agxt2,ENSDARG00000100709
402822,gcat,ENSDARG00000005643
406325,acaa2,ENSDARG00000038881
336606,hadhb,ENSDARG00000102055
431754,acaa1,ENSDARG00000004687
406299,sucla2,ENSDARG00000005359
436850,suclg1,ENSDARG00000052712
317746,suclg2,ENSDARG00000044914
442923,oxct1a,ENSDARG00000013063
560273,oxct1b,ENSDARG00000054319
393857,gne,ENSDARG00000099771
322513,uap1,ENSDARG00000052170
393264,uap1l1,ENSDARG00000013082
557834,itpa,ENSDARG00000057529
64263,gch2,ENSDARG00000099101
378727,pck1,ENSDARG00000013522
406473,pck2,ENSDARG00000020956
557191,gucy1b2,ENSDARG00000056591
560653,npr1a,ENSDARG00000031751
550420,gucy1a1,ENSDARG00000013787
100330875,gucy1a2,ENSDARG00000093185
140425,gc2,ENSDARG00000018329
140424,gucy2f,ENSDARG00000025504
100150304,gucy1b1,ENSDARG00000086790
568219,si:ch73-139e5.4,ENSDARG00000056045
402827,hao1,ENSDARG00000024160
393455,hao2,ENSDARG00000027992
394138,asns,ENSDARG00000016375
100124594,aspg,ENSDARG00000052942
557232,aspa,ENSDARG00000005154
100002145,si:ch73-337l15.2,
100333757,ggt5b,ENSDARG00000078258
569014,ggt1b,ENSDARG00000018342
566746,ggt1l2.2,ENSDARG00000087054
450084,gss,ENSDARG00000037706
768123,b4galt1l,ENSDARG00000104404
550425,b4galt1,
100148828,b4galt2,ENSDARG00000077994
436627,bpnt1,ENSDARG00000043684
641570,bpnt2,ENSDARG00000058114
777719,papss2a,ENSDARG00000071021
80939,papss2b,ENSDARG00000056600
559488,papss1,ENSDARG00000057099
327057,uck2b,ENSDARG00000022213
100005763,uck2a,ENSDARG00000006074
447928,uck1,ENSDARG00000022218
563597,si:ch211-243j20.2,ENSDARG00000033916
558466,uckl1b,ENSDARG00000078973
558758,acp6,ENSDARG00000040064
406801,acp5a,ENSDARG00000019763
436725,acp5b,ENSDARG00000101456
541489,acp1,ENSDARG00000076486
503759,acp2,ENSDARG00000007244
560915,rfk,ENSDARG00000060522
570368,arg1,ENSDARG00000057429
322614,arg2,ENSDARG00000039269
266799,gatm,ENSDARG00000036239
322089,ctps1a,ENSDARG00000030700
606663,psph,ENSDARG00000040314
393778,prdx6,ENSDARG00000043511
30068,cat,ENSDARG00000104702
394103,sardh,ENSDARG00000058102
450054,tpk1,ENSDARG00000038040
100048920,thtpa,ENSDARG00000063049
797715,ogdhb,ENSDARG00000103428
564552,ogdha,ENSDARG00000034270
559207,ogdhl,ENSDARG00000079249
116517,adh5,ENSDARG00000080010
282559,aldh3b1,ENSDARG00000013839
557008,aldh3b2,ENSDARG00000035606
751785,aldh1a3,ENSDARG00000076933
337599,zgc:172121,ENSDARG00000034430
402874,eno2,ENSDARG00000014287
378963,eno3,ENSDARG00000039007
334116,eno1a,ENSDARG00000022456
393668,eno1b,ENSDARG00000013750
572518,oat,ENSDARG00000078425
393970,acy1,ENSDARG00000038475
114426,odc1,ENSDARG00000007377
100008541,tdo2a,ENSDARG00000071429
334082,tdo2b,ENSDARG00000023176
406651,ddc,ENSDARG00000016494
571911,fdft1,ENSDARG00000101062
436747,ldhbb,ENSDARG00000071076
30497,ldhba,ENSDARG00000019644
30496,ldha,ENSDARG00000101251
436647,aldh6a1,ENSDARG00000053485
550579,idh3g,ENSDARG00000023648
393926,idh3a,ENSDARG00000030278
415247,idh3b,ENSDARG00000044753
565235,aldh5a1,ENSDARG00000076544
556229,aass,ENSDARG00000051816
30207,tyr,ENSDARG00000039077
445326,akr1a1a,ENSDARG00000035257
799805,akr1a1b,ENSDARG00000052030
431723,tha1,ENSDARG00000076225
445505,fbp2,ENSDARG00000012366
282672,fbp1b,ENSDARG00000020364
335231,fbp1a,ENSDARG00000021366
556291,gnpda2,ENSDARG00000024443
550565,gnpda1,ENSDARG00000037307
567861,gfpt1,ENSDARG00000057465
322055,cth,ENSDARG00000074301
64608,alas1,ENSDARG00000021059
64607,alas2,ENSDARG00000038643
569581,mut,ENSDARG00000060554
406615,gpd1c,ENSDARG00000036942
325181,gpd1b,ENSDARG00000043180
550404,gpd1a,ENSDARG00000043701
449663,gpd1l,ENSDARG00000040024
100136866,zgc:172295,ENSDARG00000053456
751628,gpd2,ENSDARG00000062430
436958,gpat3,ENSDARG00000016048
558437,gpat2,ENSDARG00000053575
100332911,gpam,ENSDARG00000074169
678522,gpat4,ENSDARG00000019897
567414,agpat9l,ENSDARG00000006491
393393,adprm,ENSDARG00000026090
436909,khk,ENSDARG00000029874
567019,ptpmt1,ENSDARG00000013860
368415,ptenb,ENSDARG00000056623
794088,ptena,ENSDARG00000071018
570613,sord,ENSDARG00000053405
431743,gmppaa,ENSDARG00000024112
393469,gmppab,ENSDARG00000023498
445097,gmppb,ENSDARG00000017658
393461,gmds,ENSDARG00000026629
266987,cbsb,ENSDARG00000010946
550524,cbsa,ENSDARG00000053500
393714,cdo1,ENSDARG00000099389
326857,gclc,ENSDARG00000013095
562854,lap3,ENSDARG00000061981
322533,anpepb,ENSDARG00000103878
555478,si:ch211-106j24.1,ENSDARG00000036809
322660,upb1,ENSDARG00000011521
378968,abat,ENSDARG00000006031
406283,acadm,ENSDARG00000038900
81882,dhfr,ENSDARG00000004251
100333269,aldh1l2,ENSDARG00000070230
406746,fpgs,ENSDARG00000044809
100034522,mthfd1l,ENSDARG00000042221
260441,mthfd1b,ENSDARG00000040492
394021,shmt1,ENSDARG00000052816
100144628,shmt2,ENSDARG00000104414
378847,mtr,ENSDARG00000104906
791130,galt,ENSDARG00000069543
394000,pgm1,ENSDARG00000013561
405822,pgm2,ENSDARG00000018178
393143,umps,ENSDARG00000012215
404623,uprt,ENSDARG00000035549
405829,dpydb,ENSDARG00000010267
100334830,kynu,ENSDARG00000099546
550372,afmid,ENSDARG00000099106
474331,dolpp1,ENSDARG00000036915
751635,alg5,ENSDARG00000061235
445202,dpm1,ENSDARG00000057011
793926,tkfc,ENSDARG00000062085
572335,gnpat,ENSDARG00000074401
560753,tpi1b,ENSDARG00000040988
192309,tpi1a,ENSDARG00000025012
799960,dolk,ENSDARG00000076991
563589,chkb,ENSDARG00000063167
558499,chka,ENSDARG00000041078
100170938,chata,ENSDARG00000015854
100331020,chdh,ENSDARG00000100304
114549,ache,ENSDARG00000031796
553452,akr1b1.2,ENSDARG00000045598
560827,prps1b,ENSDARG00000037506
140620,prps1a,ENSDARG00000015524
415207,rbks,ENSDARG00000019877
406661,nudt9,ENSDARG00000087927
415176,nudt5,ENSDARG00000078073
407673,rpia,ENSDARG00000056640
406367,gapdhs,ENSDARG00000039914
317743,gapdh,ENSDARG00000043457
450077,dera,ENSDARG00000005897
378713,tktb,ENSDARG00000006019
557518,tkta,ENSDARG00000029689
336425,aldoaa,ENSDARG00000011665
792692,aldoca,ENSDARG00000057661
406496,aldoab,ENSDARG00000034470
321664,aldob,ENSDARG00000053684
369193,aldocb,ENSDARG00000019702
572027,ppat,ENSDARG00000004517
337784,hlcs,ENSDARG00000039934
555376,btd,ENSDARG00000099596
393938,fh,ENSDARG00000075132
334431,adsl,ENSDARG00000017049
393423,asl,ENSDARG00000033361
337412,bcat1,ENSDARG00000045568
436949,bcat2,ENSDARG00000054849
449829,galk1,ENSDARG00000028088
450083,gla,ENSDARG00000036155
431739,cmah,ENSDARG00000057714
561018,cmasa,ENSDARG00000057334
492781,mvda,ENSDARG00000099336
553523,trit1,ENSDARG00000032876
553513,idi1,ENSDARG00000019976
140622,atic,ENSDARG00000016706
338306,impdh1b,ENSDARG00000029524
431724,impdh1a,ENSDARG00000042336
317745,impdh2,ENSDARG00000006900
406259,hprt1,ENSDARG00000008884
553639,gmpr,ENSDARG00000016160
678545,gmpr2,ENSDARG00000061301
550502,adss2,ENSDARG00000002071
192305,adssl,ENSDARG00000012399
407989,adss1,ENSDARG00000099517
555401,aoc1,ENSDARG00000061355
431716,sat1a.2,ENSDARG00000095908
436827,sat2b,ENSDARG00000104221
565700,sat1a.1,ENSDARG00000035652
556522,agmat,ENSDARG00000059700
436884,tyw3,ENSDARG00000038222
553534,nsun3,ENSDARG00000013023
791999,mettl6,ENSDARG00000070085
564925,trmt12,ENSDARG00000060338
560620,hemk1,ENSDARG00000078894
100004331,hal,ENSDARG00000017444
445288,acads,ENSDARG00000030781
406421,acox3,ENSDARG00000038865
449662,acox1,ENSDARG00000014727
100002035,acsm3,ENSDARG00000004880
571850,miox,ENSDARG00000002764
437018,impa1,ENSDARG00000003517
553595,impa2,ENSDARG00000059411
100126013,nagk,ENSDARG00000099116
322420,chia.6,ENSDARG00000093193
406338,chia.2,ENSDARG00000099185
337333,chia.4,ENSDARG00000008541
406819,chia.3,ENSDARG00000009612
791728,renbp,ENSDARG00000008931
100004977,mthfd2,ENSDARG00000098646
321621,gldc,
567547,mthfr,ENSDARG00000053087
393559,gmps,ENSDARG00000079848
393845,pde6c,ENSDARG00000100397
553270,pde5ab,ENSDARG00000051915
559332,pde6b,ENSDARG00000011671
564389,pde9al,ENSDARG00000076650
560682,pycr3,ENSDARG00000015236
100149838,pycr1b,ENSDARG00000098639
393799,pycr1a,ENSDARG00000102254
100003675,p4ha1b,ENSDARG00000071082
562774,p4ha1a,ENSDARG00000033537
373132,p4ha2,ENSDARG00000010085
563281,p4ha3,ENSDARG00000103692
100333321,prodha,ENSDARG00000086746
393330,zgc:64002,ENSDARG00000086998
100330160,nampta,ENSDARG00000030598
447878,acot7,ENSDARG00000018653
406648,ppt1,ENSDARG00000039980
405845,ppt2a.4,ENSDARG00000093176
393135,ppt2a.2,ENSDARG00000010782 ENSDARG00000068846
619258,,
100126133,ppt2b,ENSDARG00000104542
393657,ppt2a.1,ENSDARG00000068840
550422,pecr,ENSDARG00000055976
550550,mecr,ENSDARG00000032326
394156,acadl,ENSDARG00000088357
559656,acsl3b,ENSDARG00000014674
100006023,acsbg1,ENSDARG00000062077
445175,acsl1b,ENSDARG00000003854
555308,acsl1a,ENSDARG00000030514
447860,acsl5,ENSDARG00000075931
567157,acsl3a,ENSDARG00000032079
335159,acsbg2,ENSDARG00000004094
334561,acsl4b,ENSDARG00000010752
566863,acsl6,
393622,acsl4a,ENSDARG00000004078
494096,zgc:101540,
553981,sptlc1,ENSDARG00000042995
445168,sptlc3,ENSDARG00000030743
553646,sptlc2a,ENSDARG00000018976
557286,sptlc2b,ENSDARG00000074287
565743,pld2,ENSDARG00000034262
556641,pld1a,ENSDARG00000056228
799278,si:ch211-168k14.2,
572492,pld1b,ENSDARG00000057125
436622,zgc:92162,ENSDARG00000099344
641423,pla2g3,ENSDARG00000008948
402802,pla2g12a,ENSDARG00000070454
559087,pla2g4ab,ENSDARG00000017141
30554,pla2g4aa,ENSDARG00000024546
571738,pla2g1b,ENSDARG00000009153
406739,pla2g12b,ENSDARG00000015662
406370,pla2g6,ENSDARG00000060921
327566,lpcat4,ENSDARG00000035028
553683,lpcat2,ENSDARG00000053010
555969,lpcat1,ENSDARG00000011506
555566,lpcat3,ENSDARG00000075178
570720,cept1b,ENSDARG00000021177
322605,chpt1,ENSDARG00000014572
322670,aco2,ENSDARG00000007294
568448,aco1,ENSDARG00000026376
792824,pgp,ENSDARG00000029695
30354,lpl,ENSDARG00000087697
767657,abhd12,ENSDARG00000071004
799085,abhd6a,ENSDARG00000060756
378960,mgll,ENSDARG00000036820
393984,aacs,ENSDARG00000012468
394190,hmgcl,ENSDARG00000021220
100037356,bdh1,ENSDARG00000059388
550507,bdh2,ENSDARG00000052696 ENSDARG00000052700
322372,fah,ENSDARG00000101762
445287,hpdb,ENSDARG00000044935
394142,hpda,ENSDARG00000018351
751093,mif,ENSDARG00000071336
